uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,30,0.1291406770577245,0.23333333333333334,0.36666666666666664,0.03746992166009728,0.16661059871782177,0.1291406770577245,3.874220311731735,4649.0643740780815,7500,-2850.9356259219185,-0.38012475012292246
2,30,0.07939358327093675,0.1,0.43333333333333335,0.03721303600408603,0.11660661927502278,0.07939358327093675,2.3818074981281026,2858.168997753723,7500,-4641.831002246277,-0.6189108002995036
3,30,0.05794563640726984,0.0,0.6,0.0370820499188216,0.09502768632609145,0.05794563640726984,1.7383690922180952,2086.0429106617144,7500,-5413.957089338286,-0.7218609452451048
4,30,0.04407545383159923,0.03333333333333333,0.36666666666666664,0.03692853606710096,0.0810039898987002,0.04407545383159923,1.3222636149479767,1586.716337937572,7500,-5913.2836620624275,-0.7884378216083237
5,30,0.033970814326147826,0.06666666666666667,0.3,0.036925824293319504,0.07089663861946734,0.033970814326147826,1.0191244297844348,1222.949315741322,7500,-6277.050684258678,-0.8369400912344904
6,30,0.02598810999991176,0.03333333333333333,0.43333333333333335,0.03683566399726804,0.0628237739971798,0.02598810999991176,0.7796432999973528,935.5719599968234,7500,-6564.428040003177,-0.8752570720004236
7,30,0.020944781693071658,0.03333333333333333,0.5666666666666667,0.03686382920380711,0.05780861089687876,0.020944781693071658,0.6283434507921497,754.0121409505797,7500,-6745.98785904942,-0.899465047873256
8,30,0.015252756994813632,0.06666666666666667,0.43333333333333335,0.03683674402886538,0.052089501023679013,0.015252756994813632,0.45758270984440896,549.0992518132907,7500,-6950.900748186709,-0.9267867664248945
9,30,0.006753863974591618,0.06666666666666667,0.3333333333333333,0.03685176234961229,0.04360562632420391,0.006753863974591618,0.20261591923774855,243.13910308529825,7500,-7256.860896914702,-0.9675814529219602
10,30,-0.0038180339409178282,0.0,0.23333333333333334,0.036807842000080804,0.032989808059162976,-0.0038180339409178282,-0.11454101822753485,-137.4492218730418,7500,-7637.449221873042,-1.0183265629164056
