uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control,expected_ed_rate_reduction,expected_ed_visits_avoided,gross_savings,intervention_cost,net_savings,roi
1,191,0.46205113266269265,0.3036649214659686,0.46596858638743455,0.16547496959553576,0.6275261022582285,0.46205113266269265,88.2517663385743,105902.11960628915,47750,58152.119606289154,1.2178454367809246
2,191,0.18558206204547506,0.29842931937172773,0.39790575916230364,0.16753350497058328,0.3531155670160583,0.18558206204547506,35.44617385068574,42535.408620822884,47750,-5214.591379177116,-0.10920610218171971
3,191,0.09951364567786916,0.2356020942408377,0.5287958115183246,0.15934473056438528,0.25885837624225444,0.09951364567786916,19.00710632447301,22808.52758936761,47750,-24941.47241063239,-0.522334500746228
4,191,0.0534877080559236,0.23036649214659685,0.46596858638743455,0.13895809066596065,0.19244579872188425,0.0534877080559236,10.216152238681408,12259.38268641769,47750,-35490.61731358231,-0.7432590013315667
5,190,0.025297678959057206,0.1736842105263158,0.49473684210526314,0.15112402946783132,0.1764217084268885,0.025297678959057206,4.806559002220869,5767.870802665043,47500,-41732.12919733496,-0.8785711409965254
6,191,0.0016924032243201392,0.12041884816753927,0.5287958115183246,0.14615956099560845,0.1478519642199286,0.0016924032243201392,0.3232490158451466,387.8988190141759,47750,-47362.101180985825,-0.9918764645232634
7,191,-0.02532492827935468,0.17801047120418848,0.5549738219895288,0.2140818783282343,0.18875695004887966,-0.02532492827935468,-4.837061301356743,-5804.473561628092,47750,-53554.473561628096,-1.1215596557409024
8,191,-0.06891508839229064,0.2356020942408377,0.5130890052356021,0.23009529501131268,0.16118020661902202,-0.06891508839229064,-13.162781882927513,-15795.338259513015,47750,-63545.33825951302,-1.3307924242829952
9,191,-0.1356566143949569,0.29842931937172773,0.3769633507853403,0.3598807553140476,0.22422414091909074,-0.1356566143949569,-25.91041334943677,-31092.496019324124,47750,-78842.49601932413,-1.6511517490957932
10,190,-0.36387653103823914,0.26842105263157895,0.4368421052631579,0.5491109432311208,0.18523441219288167,-0.36387653103823914,-69.13654089726543,-82963.84907671851,47500,-130463.84907671851,-2.746607348983548
