uplift_decile,n,avg_benefit_score,observed_ed_rate,treated_pct,avg_pred_ed_if_treated,avg_pred_ed_if_control
1,30,0.03933877,0.03333333333333333,0.5333333333333333,0.03497428,0.07431305
2,30,0.038649485,0.0,0.5,0.035663567,0.07431305
3,30,0.036940277,0.0,0.36666666666666664,0.035118308,0.07205858
4,30,0.03692327,0.06666666666666667,0.4,0.03497428,0.07189755
5,30,0.03650221,0.06666666666666667,0.4,0.03579792,0.07230013
6,30,0.035994824,0.03333333333333333,0.16666666666666666,0.035276536,0.07127137
7,30,0.035756953,0.1,0.43333333333333335,0.03561328,0.07137024
8,30,0.035273887,0.03333333333333333,0.4,0.036392964,0.07166685
9,30,0.033592157,0.06666666666666667,0.36666666666666664,0.039070096,0.07266225
10,30,0.0325621,0.23333333333333334,0.5,0.041750953,0.07431305
