feature,mean_abs_benefit_shap,mean_signed_benefit_shap,mean_positive_benefit_shap,mean_negative_benefit_shap,pct_positive_benefit_shap,pct_negative_benefit_shap,importance_type
asthma_flag,0.05735247302568051,-0.0010287880404483323,0.028161842492616093,-0.029190630533064425,0.824607329842932,0.17539267015706805,glmnet_tlearner_final_benefit_score_permutation_shap
htn_flag,0.05543524305758207,0.006074425738516235,0.03075483439804915,-0.02468040865953292,0.7408376963350786,0.2591623036649215,glmnet_tlearner_final_benefit_score_permutation_shap
ed_visits_last_6m,0.04550696081622142,0.021507896080599886,0.033507428448410655,-0.011999532367810766,0.4738219895287958,0.5261780104712042,glmnet_tlearner_final_benefit_score_permutation_shap
current_risk_score,0.04289153532868099,-0.00015182517192751293,0.021369855078376732,-0.021521680250304247,0.2513089005235602,0.7486910994764397,glmnet_tlearner_final_benefit_score_permutation_shap
polypharmacy_flag,0.041210450571721055,-0.00904166262789569,0.016084393971912678,-0.02512605659980837,0.06282722513089005,0.93717277486911,glmnet_tlearner_final_benefit_score_permutation_shap
anxiety_flag,0.04000393398817536,-0.00022824338027964847,0.019887845303947858,-0.020116088684227502,0.36910994764397903,0.6308900523560209,glmnet_tlearner_final_benefit_score_permutation_shap
risk_tier_Missing,0.0381616898575293,0.00315612074439504,0.02065890530096217,-0.01750278455656713,0.2094240837696335,0.7905759162303665,glmnet_tlearner_final_benefit_score_permutation_shap
substance_use_flag,0.035739751794239126,-0.0017954606911999725,0.016972145551519574,-0.01876760624271955,0.774869109947644,0.225130890052356,glmnet_tlearner_final_benefit_score_permutation_shap
copd_flag,0.032824924383367,0.008399435379844665,0.020612179881605835,-0.012212744501761168,0.11518324607329843,0.8848167539267016,glmnet_tlearner_final_benefit_score_permutation_shap
ed_visits_last_30d,0.02793109124941292,-0.008543763218242751,0.009693664015585085,-0.01823742723382784,0.6910994764397905,0.3089005235602094,glmnet_tlearner_final_benefit_score_permutation_shap
county_COOS,0.02598969869296121,-0.01507913140125507,0.005455283645853069,-0.020534415047108137,0.9424083769633508,0.05759162303664921,glmnet_tlearner_final_benefit_score_permutation_shap
transportation_barrier_flag,0.02431705430880022,0.00157609556514282,0.012946574936971518,-0.011370479371828697,0.10732984293193717,0.8926701570680629,glmnet_tlearner_final_benefit_score_permutation_shap
food_insecurity_flag,0.02421749726511004,0.009842092143520732,0.017029794704315385,-0.007187702560794653,0.9162303664921466,0.08376963350785341,glmnet_tlearner_final_benefit_score_permutation_shap
county_KLAMATH,0.024122857471932914,0.007473164677621318,0.015798011074777112,-0.008324846397155798,0.03926701570680628,0.9607329842931938,glmnet_tlearner_final_benefit_score_permutation_shap
chf_flag,0.02292661084592907,0.005049028056187498,0.013987819451058285,-0.008938791394870787,0.11780104712041885,0.8821989528795812,glmnet_tlearner_final_benefit_score_permutation_shap
gender_M,0.02286657707664802,-0.0015642438448295248,0.010651166615909246,-0.012215410460738771,0.24345549738219896,0.756544502617801,glmnet_tlearner_final_benefit_score_permutation_shap
gender_F,0.022639484741379282,-0.0016505418512962494,0.010494471445041518,-0.012145013296337766,0.24345549738219896,0.756544502617801,glmnet_tlearner_final_benefit_score_permutation_shap
admits_last_6m,0.0225240853365894,-0.003446347338703285,0.00953886899894306,-0.012985216337646344,0.774869109947644,0.225130890052356,glmnet_tlearner_final_benefit_score_permutation_shap
bh_flag,0.02220439394686353,-0.0009620242097579955,0.010621184868552767,-0.011583209078310761,0.5340314136125655,0.46596858638743455,glmnet_tlearner_final_benefit_score_permutation_shap
county_LINN,0.021833411621120468,0.009376727284476449,0.015605069452798458,-0.006228342168322008,0.9424083769633508,0.05759162303664921,glmnet_tlearner_final_benefit_score_permutation_shap
opioid_flag,0.02046528801832451,-0.0015574863409253438,0.009453900838699583,-0.011011387179624927,0.9031413612565445,0.0968586387434555,glmnet_tlearner_final_benefit_score_permutation_shap
rx_count_last_6m,0.01977904289165553,0.0015964058204360088,0.01068772435604577,-0.00909131853560976,0.7617801047120419,0.23821989528795812,glmnet_tlearner_final_benefit_score_permutation_shap
county_YAMHILL,0.017608293482280567,-0.004032840805637723,0.00678772633832142,-0.010820567143959145,0.04450261780104712,0.9554973821989529,glmnet_tlearner_final_benefit_score_permutation_shap
county_UMATILLA,0.016997046821606885,0.0015558783457152881,0.009276462583661087,-0.007720584237945799,0.020942408376963352,0.9790575916230366,glmnet_tlearner_final_benefit_score_permutation_shap
percolator_score,0.016993311753820593,0.006868665257051892,0.011930988505436243,-0.005062323248384349,0.612565445026178,0.387434554973822,glmnet_tlearner_final_benefit_score_permutation_shap
diabetes_flag,0.01693056521624087,0.003003380567618764,0.009966972891929816,-0.006963592324311051,0.17801047120418848,0.8219895287958116,glmnet_tlearner_final_benefit_score_permutation_shap
risk_tier_4,0.015852060722334374,-0.0002807296922620244,0.007785665515036176,-0.0080663952072982,0.612565445026178,0.387434554973822,glmnet_tlearner_final_benefit_score_permutation_shap
county_UNION,0.014266971489203124,-0.007748621885570355,0.0032591748018163842,-0.01100779668738674,0.005235602094240838,0.9947643979057592,glmnet_tlearner_final_benefit_score_permutation_shap
risk_tier_3,0.013240942685299854,-0.000492375644728181,0.006374283520285836,-0.006866659165014017,0.824607329842932,0.17539267015706805,glmnet_tlearner_final_benefit_score_permutation_shap
county_JOSEPHINE,0.010821255149676452,0.005991636717594322,0.008406445933635386,-0.0024148092160410648,0.031413612565445025,0.9685863874345549,glmnet_tlearner_final_benefit_score_permutation_shap
ckd_flag,0.010080861890388823,-0.0010540780058347025,0.0045133919422770605,-0.005567469948111763,0.9162303664921466,0.08376963350785341,glmnet_tlearner_final_benefit_score_permutation_shap
county_DOUGLAS,0.009832844336421747,-0.0008530536015029021,0.004489895367459422,-0.0053429489689623254,0.03664921465968586,0.9633507853403142,glmnet_tlearner_final_benefit_score_permutation_shap
age,0.009610870040846233,-0.000534805595817689,0.004538032222514273,-0.005072837818331961,0.35602094240837695,0.643979057591623,glmnet_tlearner_final_benefit_score_permutation_shap
hyperlipidemia_flag,0.008204072334728639,-3.413489078098434e-05,0.004084968721973827,-0.004119103612754811,0.8350785340314136,0.1649214659685864,glmnet_tlearner_final_benefit_score_permutation_shap
cad_flag,0.007936729736306943,0.0019172634441125271,0.004926996590209736,-0.0030097331460972082,0.112565445026178,0.887434554973822,glmnet_tlearner_final_benefit_score_permutation_shap
risk_tier_2,0.007731134258710894,0.0015112227984041221,0.004621178528557507,-0.003109955730153385,0.8769633507853403,0.12303664921465969,glmnet_tlearner_final_benefit_score_permutation_shap
county_LAKE,0.007518894396647523,-0.004349558647866555,0.0015846678743904844,-0.00593422652225704,0.002617801047120419,0.9973821989528796,glmnet_tlearner_final_benefit_score_permutation_shap
healthliteracy_challenges_flag,0.007309874602701177,0.0024981529232963448,0.004904013762998761,-0.0024058608397024162,0.5549738219895288,0.44502617801047123,glmnet_tlearner_final_benefit_score_permutation_shap
county_BENTON,0.0070914119478575404,0.000742489497031864,0.003916950722444702,-0.003174461225412838,0.9790575916230366,0.020942408376963352,glmnet_tlearner_final_benefit_score_permutation_shap
county_MULTNOMAH,0.0068876092141467275,0.0017238887469150398,0.004305748980530884,-0.002581860233615844,0.14136125654450263,0.8586387434554974,glmnet_tlearner_final_benefit_score_permutation_shap
county_POLK,0.006381626424476689,-0.0006382126216207586,0.0028717069014279647,-0.003509919523048724,0.9764397905759162,0.02356020942408377,glmnet_tlearner_final_benefit_score_permutation_shap
observation_stays_last_6m,0.006314550222891123,0.0011730829817436451,0.003743816602317384,-0.0025707336205737386,0.031413612565445025,0.9685863874345549,glmnet_tlearner_final_benefit_score_permutation_shap
county_MARION,0.005919045999229575,0.0017107348946698835,0.0038148904469497303,-0.0021041555522798468,0.856020942408377,0.14397905759162305,glmnet_tlearner_final_benefit_score_permutation_shap
dual_elg,0.005632557834982291,0.00047737829949978005,0.0030549680672410356,-0.002577589767741255,0.24607329842931938,0.7539267015706806,glmnet_tlearner_final_benefit_score_permutation_shap
depression_flag,0.005429048373947064,-0.0007151017392236984,0.0023569733173616826,-0.003072075056585381,0.5549738219895288,0.44502617801047123,glmnet_tlearner_final_benefit_score_permutation_shap
risk_tier_5,0.005345486297563914,-0.0024222525939150328,0.0014616168518244404,-0.0038838694457394734,0.9685863874345549,0.031413612565445025,glmnet_tlearner_final_benefit_score_permutation_shap
county_CLACKAMAS,0.00514020283464198,-0.0017668681290479097,0.001686667352797035,-0.003453535481844945,0.9267015706806283,0.07329842931937172,glmnet_tlearner_final_benefit_score_permutation_shap
county_COLUMBIA,0.004606365005047796,-0.001573026525887422,0.0015166692395801869,-0.0030896957654676085,0.981675392670157,0.01832460732984293,glmnet_tlearner_final_benefit_score_permutation_shap
housing_instability_flag,0.004558703484431882,0.0001463934357663982,0.00235254846009914,-0.0022061550243327416,0.09424083769633508,0.9057591623036649,glmnet_tlearner_final_benefit_score_permutation_shap
county_LANE,0.004159464116138628,0.0003728641674960421,0.002266164141817335,-0.0018932999743212931,0.9031413612565445,0.0968586387434555,glmnet_tlearner_final_benefit_score_permutation_shap
county_TILLAMOOK,0.003659612751440179,0.0020207509425091974,0.002840181846974687,-0.0008194309044654909,0.27225130890052357,0.7277486910994765,glmnet_tlearner_final_benefit_score_permutation_shap
financial_strain_flag,0.003512717222490103,0.0006679092530792184,0.0020903132377846608,-0.0014224039847054422,0.7774869109947644,0.22251308900523561,glmnet_tlearner_final_benefit_score_permutation_shap
county_JACKSON,0.003168500705040726,0.0005321914744445901,0.001850346089742658,-0.001318154615298068,0.041884816753926704,0.9581151832460733,glmnet_tlearner_final_benefit_score_permutation_shap
risk_tier_1,0.0028760581044916366,-0.0006356342306247694,0.0011202119369334335,-0.0017558461675582031,0.08376963350785341,0.9162303664921466,glmnet_tlearner_final_benefit_score_permutation_shap
county_CLATSOP,0.002193605282973008,0.0006826416137291779,0.001438123448351093,-0.0007554818346219148,0.01832460732984293,0.981675392670157,glmnet_tlearner_final_benefit_score_permutation_shap
county_JEFFERSON,0.002084401105430777,-0.002084401105430777,0.0,-0.002084401105430777,0.0,0.002617801047120419,glmnet_tlearner_final_benefit_score_permutation_shap
county_HOOD_RIVER,0.002075965376353912,-0.002075965376353912,0.0,-0.002075965376353912,0.0,0.002617801047120419,glmnet_tlearner_final_benefit_score_permutation_shap
county_CROOK,0.0018916030227893285,0.0005950855739488672,0.0012433442983690978,-0.0006482587244202308,0.9528795811518325,0.04712041884816754,glmnet_tlearner_final_benefit_score_permutation_shap
county_LINCOLN,0.0018506263562147326,0.000985249290230691,0.0014179378232227115,-0.0004326885329920208,0.7094240837696335,0.2905759162303665,glmnet_tlearner_final_benefit_score_permutation_shap
county_DESCHUTES,0.001732828486964789,0.00021802687301724155,0.0009754276799910154,-0.0007574008069737738,0.013089005235602094,0.9869109947643979,glmnet_tlearner_final_benefit_score_permutation_shap
county_WASCO,0.0016371460742742887,0.0016371460742742887,0.0016371460742742887,0.0,0.015706806282722512,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_WHEELER,0.00125956251349503,0.0007639552726487391,0.0010117588930718844,-0.0002478036204231455,0.9973821989528796,0.002617801047120419,glmnet_tlearner_final_benefit_score_permutation_shap
total_cost_last_6m,0.0011403340017216584,0.0004036138190567769,0.0007719739103892177,-0.00036836009133244066,0.20418848167539266,0.7958115183246073,glmnet_tlearner_final_benefit_score_permutation_shap
county_MALHEUR,0.0009280749531689502,-0.0007458193247817385,9.112781419360575e-05,-0.0008369471389753444,0.002617801047120419,0.9973821989528796,glmnet_tlearner_final_benefit_score_permutation_shap
state_MT,0.0009071252779230236,-0.0009071252779230236,0.0,-0.0009071252779230236,0.0,1.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_MUSSELSHELL,0.0009038394124837606,-0.0009038394124837606,0.0,-0.0009038394124837606,0.0,1.0,glmnet_tlearner_final_benefit_score_permutation_shap
state_OR,0.0009011060595655359,0.00021593227656982678,0.0005585191680676814,-0.0003425868914978545,0.015706806282722512,0.9842931937172775,glmnet_tlearner_final_benefit_score_permutation_shap
county_MORROW,0.000563172524920069,-0.000563172524920069,0.0,-0.000563172524920069,0.0,0.005235602094240838,glmnet_tlearner_final_benefit_score_permutation_shap
state_WA,0.0004493327362021791,0.0004493327362021791,0.0004493327362021791,0.0,0.007853403141361256,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_CURRY,0.00035365338528062977,-0.00035365338528062977,0.0,-0.00035365338528062977,0.0,0.007853403141361256,glmnet_tlearner_final_benefit_score_permutation_shap
county_HARNEY,0.0002712858437551115,0.0002712858437551115,0.0002712858437551115,0.0,0.002617801047120419,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_WASHINGTON,3.632928745501167e-20,0.0,1.8164643727505835e-20,-1.8164643727505835e-20,0.010471204188481676,0.002617801047120419,glmnet_tlearner_final_benefit_score_permutation_shap
op_visits_last_6m,5.676451164845573e-21,-5.676451164845573e-21,0.0,-5.676451164845573e-21,0.0,0.002617801047120419,glmnet_tlearner_final_benefit_score_permutation_shap
county_ADA,0.0,0.0,0.0,0.0,0.0,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_CLARK,0.0,0.0,0.0,0.0,0.0,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_BAKER,0.0,0.0,0.0,0.0,0.0,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
gender_Unseen,0.0,0.0,0.0,0.0,0.0,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_KLICKITAT,0.0,0.0,0.0,0.0,0.0,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_DEL_NORTE,0.0,0.0,0.0,0.0,0.0,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_FLAGLER,0.0,0.0,0.0,0.0,0.0,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_GRANT,0.0,0.0,0.0,0.0,0.0,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
county_GILLIAM,0.0,0.0,0.0,0.0,0.0,0.0,glmnet_tlearner_final_benefit_score_permutation_shap
