model,group,pred_risk_decile,n,avg_predicted_ed_rate,observed_ed_rate,calibration_error,abs_calibration_error
GLMNET,Treated,1,27,0.7671484705335346,0.4444444444444444,-0.3227040260890902,0.3227040260890902
GLMNET,Treated,2,27,0.44797429642572173,0.3333333333333333,-0.11464096309238841,0.11464096309238841
GLMNET,Treated,3,26,0.2362808442605839,0.19230769230769232,-0.04397315195289159,0.04397315195289159
GLMNET,Treated,4,27,0.1652654904349775,0.2962962962962963,0.13103080586131877,0.13103080586131877
GLMNET,Treated,5,26,0.10840413736996779,0.15384615384615385,0.045442016476186065,0.045442016476186065
GLMNET,Treated,6,27,0.07373734370936086,0.07407407407407407,0.0003367303647132114,0.0003367303647132114
GLMNET,Treated,7,27,0.05331037840351604,0.1111111111111111,0.057800732707595066,0.057800732707595066
GLMNET,Treated,8,26,0.039342650657079314,0.07692307692307693,0.03758042626599761,0.03758042626599761
GLMNET,Treated,9,27,0.028645155873783402,0.07407407407407407,0.04542891820029067,0.04542891820029067
GLMNET,Treated,10,26,0.01765058954370605,0.11538461538461539,0.09773402584090934,0.09773402584090934
GLMNET,Control,1,12,0.9024650642292729,0.75,-0.15246506422927286,0.15246506422927286
GLMNET,Control,2,12,0.6885116701343206,0.4166666666666667,-0.2718450034676539,0.2718450034676539
GLMNET,Control,3,11,0.4505477739259856,0.5454545454545454,0.09490677152855981,0.09490677152855981
GLMNET,Control,4,12,0.2626785808946948,0.25,-0.012678580894694813,0.012678580894694813
GLMNET,Control,5,11,0.19526997431182636,0.45454545454545453,0.2592754802336282,0.2592754802336282
GLMNET,Control,6,12,0.12321222803472953,0.0,-0.12321222803472953,0.12321222803472953
GLMNET,Control,7,12,0.07098305762773521,0.08333333333333333,0.012350275705598115,0.012350275705598115
GLMNET,Control,8,11,0.03396130737388079,0.0,-0.03396130737388079,0.03396130737388079
GLMNET,Control,9,12,0.016434564764239688,0.16666666666666666,0.15023210190242697,0.15023210190242697
GLMNET,Control,10,11,0.004471411626015979,0.09090909090909091,0.08643767928307493,0.08643767928307493
