model,group,pred_risk_decile,n,avg_predicted_ed_rate,observed_ed_rate,calibration_error,abs_calibration_error
XGBoost,Treated,1,27,0.6016099,0.4444444444444444,-0.15716544124815202,0.15716544124815202
XGBoost,Treated,2,27,0.38242742,0.4074074074074074,0.024979983214978796,0.024979983214978796
XGBoost,Treated,3,26,0.2628967,0.19230769230769232,-0.07058899448468134,0.07058899448468134
XGBoost,Treated,4,27,0.1882373,0.14814814814814814,-0.04008914640656225,0.04008914640656225
XGBoost,Treated,5,26,0.16082852,0.19230769230769232,0.03147917642043188,0.03147917642043188
XGBoost,Treated,6,27,0.13832822,0.037037037037037035,-0.10129118738351045,0.10129118738351045
XGBoost,Treated,7,27,0.10811406,0.2222222222222222,0.1141081659330262,0.1141081659330262
XGBoost,Treated,8,26,0.086891614,0.07692307692307693,-0.009968536977584541,0.009968536977584541
XGBoost,Treated,9,27,0.066824384,0.1111111111111111,0.04428672707743114,0.04428672707743114
XGBoost,Treated,10,26,0.060044862,0.038461538461538464,-0.021583323868421406,0.021583323868421406
XGBoost,Control,1,12,0.59121877,0.6666666666666666,0.07544789711634314,0.07544789711634314
XGBoost,Control,2,12,0.46918783,0.5833333333333334,0.11414550741513574,0.11414550741513574
XGBoost,Control,3,11,0.3935733,0.18181818181818182,-0.2117551321333105,0.2117551321333105
XGBoost,Control,4,12,0.29397082,0.25,-0.04397082328796387,0.04397082328796387
XGBoost,Control,5,11,0.21810097,0.36363636363636365,0.14553539861332287,0.14553539861332287
XGBoost,Control,6,12,0.18449835,0.08333333333333333,-0.10116502145926158,0.10116502145926158
XGBoost,Control,7,12,0.15219356,0.16666666666666666,0.014473105470339448,0.014473105470339448
XGBoost,Control,8,11,0.11244423,0.2727272727272727,0.16028304330327292,0.16028304330327292
XGBoost,Control,9,12,0.09072628,0.08333333333333333,-0.007392945388952896,0.007392945388952896
XGBoost,Control,10,11,0.06489331,0.09090909090909091,0.026015778156844055,0.026015778156844055
