targeted_group,members_targeted,dr_gross_savings,risk_gross_savings,advantage,dr_ed_visits_avoided,risk_ed_visits_avoided
Top 10%,30,2495.0709151469378,2263.343309805908,231.72760534102954,2.079225762622448,1.8861194248382567
Top 20%,60,4609.327159756594,4323.834269473436,285.4928902831579,3.8411059664638283,3.6031952245611967
Top 30%,90,6516.21071310312,5977.140060049647,539.0706530534728,5.4301755942526,4.980950050041373
Top 40%,120,8265.285108533626,7406.0895892609,859.1955192727262,6.887737590444688,6.171741324384083
Top 50%,150,9820.041616592012,8749.449369266089,1070.5922473259236,8.183368013826676,7.29120780772174
Top 60%,180,11225.595651540842,10087.495890635653,1138.0997609051888,9.354663042950701,8.40624657552971
Top 70%,210,12541.848535187462,11507.12407188887,1034.7244632985926,10.451540445989552,9.589270059907392
Top 80%,240,13730.643048090467,12864.98582806225,865.657220028217,11.442202540075389,10.720821523385208
Top 90%,270,14788.817164967177,14217.9114054208,570.9057595463776,12.324014304139315,11.848259504517333
Top 100%,300,15591.903886986787,15591.903886986787,0.0,12.993253239155656,12.993253239155656
