feature,top_hte_decile_mean,other_deciles_mean,difference
total_cost_last_6m,5675.619666666667,4069.813592592592,1605.8060740740752
percolator_clinical_score,63.720000000000006,44.33259259259259,19.387407407407416
current_risk_score,57.84000000000001,42.241481481481486,15.598518518518524
percolator_utilization_score,56.583333333333336,44.31740740740741,12.265925925925927
percolator_sdoh_score,41.72,34.6774074074074,7.042592592592598
ed_visits_last_6m,1.7333333333333334,0.8148148148148148,0.9185185185185186
admits_last_6m,0.5666666666666667,0.3333333333333333,0.23333333333333334
transportation_barrier_flag,0.43333333333333335,0.24074074074074073,0.19259259259259262
dual_eligible,0.2,0.3037037037037037,-0.10370370370370369
utilities_insecurity_flag,0.26666666666666666,0.17037037037037037,0.0962962962962963
behavioral_health_risk_flag,0.3333333333333333,0.3925925925925926,-0.05925925925925929
food_insecurity_flag,0.26666666666666666,0.2074074074074074,0.05925925925925926
housing_instability_flag,0.2,0.17407407407407408,0.025925925925925936
