hte_decile,n,avg_tau_hat,avg_benefit_score,observed_ed_rate,treatment_pct,avg_propensity_score,avg_current_risk_score
1,30,-0.06927159055049127,0.06927159055049127,0.2,0.4,0.5083066354089262,57.84
2,30,-0.05870282158904667,0.05870282158904667,0.1,0.3333333333333333,0.4807705121384601,52.519999999999996
3,30,-0.052863642802965086,0.052863642802965086,0.0,0.4666666666666667,0.3911277328135344,43.68666666666666
4,30,-0.048595357166264175,0.048595357166264175,0.0,0.3333333333333333,0.3774396993005592,41.86
5,30,-0.04319980165852579,0.04319980165852579,0.06666666666666667,0.23333333333333334,0.40522508814791525,42.88333333333333
6,30,-0.039096246091830676,0.039096246091830676,0.13333333333333333,0.4666666666666667,0.3834343106772045,42.580000000000005
7,30,-0.03662946573650161,0.03662946573650161,0.0,0.36666666666666664,0.34946499653146146,40.29
8,30,-0.03311814709191987,0.03311814709191987,0.06666666666666667,0.5,0.39275626859159224,40.269999999999996
9,30,-0.02944578353318199,0.02944578353318199,0.0,0.4,0.35781223427543923,37.723333333333336
10,30,-0.022306306991023876,0.022306306991023876,0.03333333333333333,0.43333333333333335,0.37908284770991096,38.36
