,age,dual_eligible,diabetes_flag,chf_flag,ckd_flag,copd_flag,asthma_flag,depression_flag,anxiety_flag,substance_use_flag,behavioral_health_risk_flag,food_insecurity_flag,housing_instability_flag,transportation_barrier_flag,utilities_insecurity_flag,Clinical Score,SDOH Score,utilization_score,pcp_visits_last_6m,specialist_visits_last_6m,ed_visits_last_6m,admits_last_6m,observation_stays_last_6m,total_cost_last_6m,rx_count_last_6m,med_adherence_pdc,high_cost_drug_flag,opioid_flag,polypharmacy_flag,intervention_flag,outcome_ed_90d,true_treatment_effect
age,1.0,0.020410403691087386,0.293246438937927,0.14589802307285016,0.16800682485393487,0.17617600393945132,-0.12298443046461244,0.14056029396952166,0.06912850527832382,0.015441174306904809,0.07243805266453801,-0.004698741176574904,0.01924535095732349,0.026191859593624398,0.031196255675882578,0.044477210205573554,0.03649402549258827,0.060956323150831486,0.04575045430200988,0.07962567611904615,0.036432806861495935,0.035864339208136614,0.035864339208136614,0.04098831867511817,0.04985726480127346,-0.024565673359353765,0.04882326792923266,0.02658058609306929,0.09174368973756956,0.09707657084404898,0.03309941049462623,0.0450770803496731
dual_eligible,0.020410403691087386,1.0,0.17543735576126493,0.09008118001714019,0.14698658892387417,0.0907841299003215,0.03485913237440057,0.12981256817180536,0.1913775845672846,0.04571237848023165,0.1430046715174016,0.2713546265191233,0.17705408255148666,0.19293722006774724,0.23448137471963013,0.20952109650764572,0.3321298013147691,0.14998068429043263,0.19634751088133007,0.2616032211977276,0.04205789327012278,0.03751775263364364,0.03751775263364364,0.12584411841937207,0.16848367408957454,-0.19883886643926432,0.12275989467009159,0.07620427161787185,0.11522136745709208,0.09738070111509549,0.18253700462764957,0.21194249826042952
diabetes_flag,0.293246438937927,0.17543735576126493,1.0,0.3778291970738864,0.5254140815816203,0.3181469081330011,-0.04090430090527563,0.2922037719043484,0.2367847415166631,-0.0053902624762511816,0.16369801860257502,0.2154462687469667,0.2142009145923619,0.23635566344936015,0.2384594641161408,0.47847384149418565,0.3139657011716336,0.2603525007293647,0.3698059856153833,0.4605531881896888,0.0641379534919785,0.06334121600336137,0.06334121600336137,0.3271334558829736,0.46196949649,-0.33314599591173927,0.31194044254692277,-0.0006854740700453972,0.42151435978822044,0.2411607323745082,0.22789737830679205,0.228365846954109
chf_flag,0.14589802307285016,0.09008118001714019,0.3778291970738864,1.0,0.6689130540348058,0.2783055733138858,-0.061527348913111235,0.18113006543512244,0.08016376170692821,0.0659709879389561,0.11665100126621099,0.11214309855297541,0.17227780357413613,0.15984456368255506,0.16091027801305569,0.36091604735517374,0.2110688890135247,0.24944108431094272,0.3213733273823776,0.3940173911034432,0.06471739047666515,0.06098100947669382,0.06098100947669382,0.32057670104881003,0.36513453125056955,-0.31306719034561414,0.27489230380902774,0.06085003770047368,0.45139611127882506,0.2467172381440536,0.2244752198275497,0.1680292796432095
ckd_flag,0.16800682485393487,0.14698658892387417,0.5254140815816203,0.6689130540348058,1.0,0.23680989399876382,-0.03328682060644736,0.22551961902801285,0.21924063348122788,0.06450973223056812,0.17333665321353747,0.19721624229023127,0.2211212413557158,0.2700181542194519,0.24110316934969664,0.44403248832709413,0.28724815078503924,0.2625015130759531,0.3805682948143054,0.46881312197768277,0.03529596021667033,0.030071755063759552,0.030071755063759552,0.34997953802593773,0.43366143065417934,-0.35647286390921684,0.2881119335703801,0.06379236380400954,0.47116969709824763,0.25550987975179384,0.24928959964006506,0.18027295419587888
copd_flag,0.17617600393945132,0.0907841299003215,0.3181469081330011,0.2783055733138858,0.23680989399876382,1.0,0.025910621013837298,0.37785403121703376,0.2062773275596357,0.03337258298576589,0.1991545170081106,0.1981913519427374,0.2467837219782862,0.33227758371031574,0.30628243670948396,0.4213812523049013,0.35872117516343704,0.2587197044090682,0.3703495946186534,0.4547190609396878,0.06524542586567382,0.07393435165703371,0.07393435165703371,0.3176255993664578,0.37990265889052,-0.3569472175719776,0.18747778266176462,0.03223558149106503,0.36727940446440654,0.2042295639388137,0.24028621552611198,0.22625871579498238
asthma_flag,-0.12298443046461244,0.03485913237440057,-0.04090430090527563,-0.061527348913111235,-0.03328682060644736,0.025910621013837298,1.0,-0.04496871288400788,0.01619295908997923,-0.02649183529932661,-0.02653909585320846,0.00754722354752915,0.017610188277567274,0.020347862725946506,0.031937904934137375,0.1734587778762428,0.005741971795536624,0.04070949943412456,0.08904995312166805,0.10387834325153227,-0.003220793504767308,-0.009332053738081308,-0.009332053738081308,0.1276041528278295,0.16211840316470127,-0.10953238884530124,0.007631424429787018,-0.02462835628801038,0.0854566819497779,0.03464432522657524,0.019698476040368628,0.0015243359877473125
depression_flag,0.14056029396952166,0.12981256817180536,0.2922037719043484,0.18113006543512244,0.22551961902801285,0.37785403121703376,-0.04496871288400788,1.0,0.48353931732893296,0.05582394359004282,0.4309744256448731,0.2638770266482041,0.3268535951382119,0.3985375511114563,0.4095733996435414,0.4895974436691915,0.4562450426182603,0.29451457425831185,0.4359958169166205,0.5381574127812513,0.055149239983718575,0.05481233499783613,0.05481233499783613,0.3461293121669342,0.44094518443936404,-0.41639838972343807,0.27368221798560183,0.03258837190732988,0.41479938320090376,0.2686929998710429,0.3952627303823259,0.3268171481123285
anxiety_flag,0.06912850527832382,0.1913775845672846,0.2367847415166631,0.08016376170692821,0.21924063348122788,0.2062773275596357,0.01619295908997923,0.48353931732893296,1.0,-0.025131550606960006,0.45172923038290536,0.2923012990030306,0.445985487138647,0.5171957380372724,0.5111924929108423,0.4783653322227113,0.5332035798453989,0.31914095742582416,0.4597101055267971,0.5698605264429132,0.03655785737953368,0.035206252404331104,0.035206252404331104,0.3660987045913645,0.43268804864533184,-0.446776189797788,0.257403242795262,-0.01501255848705133,0.3942554107223132,0.28340751166904615,0.43229688389622106,0.35946714112828987
substance_use_flag,0.015441174306904809,0.04571237848023165,-0.0053902624762511816,0.0659709879389561,0.06450973223056812,0.03337258298576589,-0.02649183529932661,0.05582394359004282,-0.025131550606960006,1.0,0.7640529103438144,-0.013196027010430086,0.03518940536114664,0.027206283038173542,0.04160055418182234,0.5571089367771762,0.013299354837042528,0.134695530937874,0.21346972387204818,0.2961965060942011,0.028910336345445976,0.03007604594585302,0.03007604594585302,0.27024040777685276,0.4072481225023292,-0.2301986000532797,0.023652051930545655,0.6515587137511327,0.24029727531089298,0.15073128824894405,0.047224624911100035,0.2673783199772807
behavioral_health_risk_flag,0.07243805266453801,0.1430046715174016,0.16369801860257502,0.11665100126621099,0.17333665321353747,0.1991545170081106,-0.02653909585320846,0.4309744256448731,0.45172923038290536,0.7640529103438144,1.0,0.19896518823940929,0.27476145042585354,0.34242950609852735,0.3400283207949063,0.8022962418428583,0.3521715104882709,0.29003215905079194,0.47732554401198296,0.6212071836487615,0.026160071985531698,0.027003352545929192,0.027003352545929192,0.4619711652048426,0.6380148744337338,-0.4822536612234873,0.16828087007511758,0.4978253315014251,0.44322087494760604,0.3053784960839455,0.3033831651915387,0.4629352929688795
food_insecurity_flag,-0.004698741176574904,0.2713546265191233,0.2154462687469667,0.11214309855297541,0.19721624229023127,0.1981913519427374,0.00754722354752915,0.2638770266482041,0.2923012990030306,-0.013196027010430086,0.19896518823940929,1.0,0.2833333333333335,0.3171850135320724,0.3479116969878788,0.2893322173601005,0.7752052476441796,0.2419582193202267,0.35921140425260073,0.45562758084337207,0.03695444890083231,0.035328237612575385,0.035328237612575385,0.2617044630336353,0.291607142539756,-0.34535088623310867,0.08977558042905795,0.0014041454276168298,0.26784295763724875,0.24552983583446578,0.2724386454084926,0.37696585108811276
housing_instability_flag,0.01924535095732349,0.17705408255148666,0.2142009145923619,0.17227780357413613,0.2211212413557158,0.2467837219782862,0.017610188277567274,0.3268535951382119,0.445985487138647,0.03518940536114664,0.27476145042585354,0.2833333333333335,1.0,0.8061785760606891,0.8094272134003809,0.35490184159719546,0.6547315323142144,0.3430284191848709,0.44784713790357694,0.5501195271131537,0.060149215865677445,0.05364329547035149,0.05364329547035149,0.25906308306655446,0.33361717427613774,-0.42196549113724924,0.366977372631066,0.01965803598662877,0.28359842573355815,0.2811138700133754,0.5516041709505274,0.4217509978463036
