feature,top_hte_decile_mean_or_rate,other_deciles_mean_or_rate,difference
total_cost_last_6m,5973.530000000001,4036.712444444444,1936.8175555555567
percolator_clinical_score,68.63333333333334,43.78666666666667,24.84666666666667
current_risk_score,58.53666666666667,42.16407407407407,16.372592592592596
percolator_utilization_score,56.10666666666667,44.370370370370374,11.736296296296295
percolator_sdoh_score,38.38,35.04851851851852,3.3314814814814824
ed_visits_last_6m,1.5666666666666667,0.8333333333333334,0.7333333333333333
admits_last_6m,0.7,0.31851851851851853,0.3814814814814814
dual_eligible,0.2,0.3037037037037037,-0.10370370370370369
utilities_insecurity_flag,0.26666666666666666,0.17037037037037037,0.0962962962962963
transportation_barrier_flag,0.3333333333333333,0.2518518518518518,0.08148148148148149
food_insecurity_flag,0.26666666666666666,0.2074074074074074,0.05925925925925926
behavioral_health_risk_flag,0.4,0.3851851851851852,0.014814814814814836
housing_instability_flag,0.16666666666666666,0.17777777777777778,-0.011111111111111127
