hte_decile,n,avg_benefit_score,observed_ed_rate,treatment_pct,avg_current_risk_score,cumulative_members,cumulative_expected_ed_reductions
1,30,0.08418259075775802,0.2,0.4,58.53666666666666,30,2.5254777227327407
2,30,0.064676575613661,0.03333333333333333,0.4,50.17333333333333,60,4.46577499114257
3,30,0.05514875872930201,0.06666666666666667,0.23333333333333334,44.28333333333333,90,6.12023775302163
4,30,0.04683167092103211,0.03333333333333333,0.4666666666666667,42.35333333333333,120,7.525187880652593
5,30,0.04062813972773178,0.1,0.4,41.93,150,8.744032072484547
6,30,0.034471583549926736,0.03333333333333333,0.4666666666666667,39.49,180,9.77817957898235
7,30,0.030085277960877958,0.03333333333333333,0.4,40.86666666666667,210,10.680737917808688
8,30,0.02475024233201221,0.03333333333333333,0.3333333333333333,42.016666666666666,240,11.423245187769055
9,30,0.018187942626173577,0.03333333333333333,0.4,37.376666666666665,270,11.968883466554262
10,30,0.011813829712217913,0.03333333333333333,0.43333333333333335,40.986666666666665,300,12.3232983579208
